commit	c_minus_a	context_ndcg	foveated_avg	stock_avg	rag_avg	status	description
fa8b9e4	-0.005556	0.000000	0.261111	0.266667	0.211111	baseline	baseline: TRM not loaded, empty knowledge zone
fa8b9e4	0.016667	0.033333	0.316667	0.300000	0.344444	keep	baseline: TRM loaded (45585 chunks), path fix applied
fa8b9e4	0.027778	0.033333	0.294444	0.266667	0.350000	keep	cycle 1
fa8b9e4	0.011111	0.033333	0.272222	0.261111	0.200000	measured	cycle 2
fa8b9e4	0.033333	0.033333	0.316667	0.283333	0.283333	keep	cycle 3
fa8b9e4	0.033333	0.033333	0.316667	0.283333	0.200000	measured	cycle 4
fa8b9e4	0.005556	0.033333	0.316667	0.311111	0.194444	measured	cycle 5
fa8b9e4	0.050000	0.033333	0.294444	0.244444	0.300000	keep	cycle 6
fa8b9e4	-0.027778	0.033333	0.255556	0.283333	0.216667	measured	cycle 7
fa8b9e4	0.055556	0.033333	0.300000	0.244444	0.266667	keep	cycle 8
fa8b9e4	0.033333	0.033333	0.300000	0.266667	0.261111	measured	cycle 9
fa8b9e4	0.083333	0.033333	0.300000	0.216667	0.283333	keep	cycle 10
fa8b9e4	0.100000	0.033333	0.294444	0.194444	0.244444	keep	cycle 11
fa8b9e4	0.105556	0.033333	0.366667	0.261111	0.350000	keep	cycle 12
fa8b9e4	0.038889	0.033333	0.255556	0.216667	0.211111	measured	cycle 13
fa8b9e4	0.077778	0.033333	0.294444	0.216667	0.200000	measured	cycle 14
fa8b9e4	0.066667	0.033333	0.283333	0.216667	0.261111	measured	cycle 15
fa8b9e4	0.027778	0.033333	0.311111	0.283333	0.266667	measured	cycle 16
fa8b9e4	0.055556	0.033333	0.300000	0.244444	0.266667	measured	cycle 17
fa8b9e4	0.094444	0.033333	0.311111	0.216667	0.233333	measured	cycle 18
fa8b9e4	0.011111	0.033333	0.294444	0.283333	0.283333	measured	cycle 19
fa8b9e4	0.044444	0.033333	0.311111	0.266667	0.200000	measured	cycle 20
fa8b9e4	0.016667	0.033333	0.316667	0.300000	0.244444	measured	cycle 21
fa8b9e4	0.100000	0.033333	0.294444	0.194444	0.266667	measured	cycle 22
fa8b9e4	0.022222	0.033333	0.283333	0.261111	0.283333	measured	cycle 23
fa8b9e4	0.116667	0.033333	0.333333	0.216667	0.283333	keep	cycle 24
fa8b9e4	0.055556	0.033333	0.316667	0.261111	0.177778	measured	cycle 25
fa8b9e4	0.050000	0.033333	0.294444	0.244444	0.244444	measured	cycle 26
fa8b9e4	0.027778	0.033333	0.272222	0.244444	0.283333	measured	cycle 27
fa8b9e4	-0.072222	0.033333	0.277778	0.350000	0.350000	measured	cycle 28
fa8b9e4	0.116667	0.033333	0.316667	0.200000	0.266667	measured	cycle 29
fa8b9e4	0.066667	0.033333	0.333333	0.266667	0.261111	measured	cycle 30
fa8b9e4	0.066667	0.033333	0.350000	0.283333	0.177778	measured	cycle 31
fa8b9e4	0.077778	0.033333	0.294444	0.216667	0.283333	measured	cycle 32
fa8b9e4	0.066667	0.033333	0.350000	0.283333	0.283333	measured	cycle 33
fa8b9e4	0.061111	0.033333	0.277778	0.216667	0.216667	measured	cycle 34
fa8b9e4	-0.005556	0.033333	0.294444	0.300000	0.283333	measured	cycle 35
fa8b9e4	0.072222	0.033333	0.333333	0.261111	0.211111	measured	cycle 36
fa8b9e4	0.088889	0.033333	0.350000	0.261111	0.266667	measured	cycle 37
fa8b9e4	0.072222	0.033333	0.333333	0.261111	0.283333	measured	cycle 38
fa8b9e4	-0.066667	0.033333	0.283333	0.350000	0.283333	measured	cycle 39
fa8b9e4	0.000000	0.033333	0.300000	0.300000	0.261111	measured	cycle 40
fa8b9e4	0.116667	0.033333	0.333333	0.216667	0.194444	measured	cycle 41
fa8b9e4	0.038889	0.033333	0.316667	0.277778	0.200000	measured	cycle 42
fa8b9e4	0.077778	0.033333	0.277778	0.200000	0.266667	measured	cycle 43
fa8b9e4	0.027778	0.033333	0.311111	0.283333	0.277778	measured	cycle 44
fa8b9e4	0.011111	0.033333	0.294444	0.283333	0.200000	measured	cycle 45
fa8b9e4	0.033333	0.033333	0.333333	0.300000	0.311111	measured	cycle 46
fa8b9e4	0.055556	0.033333	0.316667	0.261111	0.216667	measured	cycle 47
fa8b9e4	0.088889	0.033333	0.333333	0.244444	0.177778	measured	cycle 48
fa8b9e4	0.061111	0.033333	0.277778	0.216667	0.261111	measured	cycle 49
fa8b9e4	0.027778	0.033333	0.288889	0.261111	0.283333	measured	cycle 50
fa8b9e4	0.155556	0.033333	0.333333	0.177778	0.283333	keep	cycle 51
fa8b9e4	0.083333	0.033333	0.277778	0.194444	0.283333	measured	cycle 52
fa8b9e4	0.072222	0.033333	0.333333	0.261111	0.327778	measured	cycle 53
fa8b9e4	0.033333	0.033333	0.316667	0.283333	0.194444	measured	cycle 54
fa8b9e4	0.000000	0.033333	0.300000	0.300000	0.266667	measured	cycle 55
fa8b9e4	0.044444	0.033333	0.311111	0.266667	0.194444	measured	cycle 56
fa8b9e4	0.066667	0.033333	0.333333	0.266667	0.266667	measured	cycle 57
fa8b9e4	0.033333	0.033333	0.316667	0.283333	0.261111	measured	cycle 58
fa8b9e4	0.011111	0.033333	0.294444	0.283333	0.283333	measured	cycle 59
fa8b9e4	0.050000	0.033333	0.316667	0.266667	0.283333	measured	cycle 60
fa8b9e4	0.072222	0.033333	0.333333	0.261111	0.333333	measured	cycle 61
fa8b9e4	0.072222	0.033333	0.316667	0.244444	0.266667	measured	cycle 62
fa8b9e4	0.016667	0.033333	0.316667	0.300000	0.277778	measured	cycle 63
fa8b9e4	0.122222	0.033333	0.316667	0.194444	0.216667	measured	cycle 64
fa8b9e4	0.083333	0.033333	0.300000	0.216667	0.266667	measured	cycle 65
fa8b9e4	0.027778	0.033333	0.294444	0.266667	0.194444	measured	cycle 66
fa8b9e4	0.138889	0.033333	0.333333	0.194444	0.261111	measured	cycle 67
fa8b9e4	0.005556	0.033333	0.250000	0.244444	0.261111	measured	cycle 68
fa8b9e4	0.033333	0.033333	0.316667	0.283333	0.283333	measured	cycle 69
fa8b9e4	-0.016667	0.033333	0.311111	0.327778	0.283333	measured	cycle 70
fa8b9e4	0.116667	0.033333	0.311111	0.194444	0.266667	measured	cycle 71
fa8b9e4	0.011111	0.033333	0.277778	0.266667	0.350000	measured	cycle 72
fa8b9e4	0.033333	0.033333	0.300000	0.266667	0.283333	measured	cycle 73
fa8b9e4	-0.022222	0.033333	0.305556	0.327778	0.261111	measured	cycle 74
fa8b9e4	0.050000	0.033333	0.333333	0.283333	0.200000	measured	cycle 75
fa8b9e4	0.094444	0.033333	0.294444	0.200000	0.300000	measured	cycle 76
fa8b9e4	0.022222	0.033333	0.288889	0.266667	0.244444	measured	cycle 77
fa8b9e4	0.055556	0.033333	0.316667	0.261111	0.283333	measured	cycle 78
fa8b9e4	0.011111	0.033333	0.294444	0.283333	0.261111	measured	cycle 79
fa8b9e4	0.050000	0.033333	0.316667	0.266667	0.261111	measured	cycle 80
fa8b9e4	0.038889	0.033333	0.300000	0.261111	0.177778	measured	cycle 81
fa8b9e4	0.000000	0.000000	0.000000	0.000000	0.000000	crash	crash: timeout
fa8b9e4	0.000000	0.000000	0.000000	0.000000	0.000000	crash	crash: timeout
fa8b9e4	0.000000	0.000000	0.000000	0.000000	0.000000	crash	crash: timeout
fa8b9e4	-0.044444	0.033333	0.300000	0.344444	0.266667	measured	cycle 85
fa8b9e4	0.055556	0.033333	0.316667	0.261111	0.266667	measured	cycle 86
fa8b9e4	0.027778	0.033333	0.311111	0.283333	0.261111	measured	cycle 87
fa8b9e4	-0.011111	0.033333	0.300000	0.311111	0.283333	measured	cycle 88
fa8b9e4	0.122222	0.033333	0.316667	0.194444	0.266667	measured	cycle 89
fa8b9e4	0.116667	0.033333	0.311111	0.194444	0.244444	measured	cycle 90
fa8b9e4	0.027778	0.033333	0.311111	0.283333	0.327778	measured	cycle 91
fa8b9e4	0.116667	0.033333	0.311111	0.194444	0.283333	measured	cycle 92
fa8b9e4	0.011111	0.033333	0.277778	0.266667	0.283333	measured	cycle 93
fa8b9e4	0.033333	0.033333	0.316667	0.283333	0.283333	measured	cycle 94
fa8b9e4	0.133333	0.033333	0.333333	0.200000	0.266667	measured	cycle 95
fa8b9e4	0.094444	0.033333	0.311111	0.216667	0.283333	measured	cycle 96
fa8b9e4	0.016667	0.033333	0.277778	0.261111	0.200000	measured	cycle 97
fa8b9e4	0.038889	0.033333	0.300000	0.261111	0.350000	measured	cycle 98
fa8b9e4	0.066667	0.033333	0.350000	0.283333	0.194444	measured	cycle 99
fa8b9e4	0.105556	0.033333	0.300000	0.194444	0.194444	measured	cycle 100
